sku,is_in_stock,categories,errors
KAN-AP-21S02,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S04,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S05,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S07,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S09,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S10,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S11,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S12,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S14,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S15,1,"Default Category/Shop/Co-Ords, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S16,1,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals","Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
