sku,categories,is_in_stock
KAN-AP-21S02,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S04,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S05,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S07,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S09,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S10,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S11,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S12,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S14,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S15,"Default Category/Shop/Co-Ords, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S16,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S19,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S20,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S21,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S23,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S24,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S25,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S26,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S29,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S30,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S31,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S34,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S35,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S37,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S39,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S42,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S43,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S47,"Default Category/Shop/Outerwear, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S49,"Default Category/Shop/Co-Ords, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S50,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S51,"Default Category/Shop/Bottoms, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S55,"Default Category/Shop/Co-Ords, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S56,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S57,"Default Category/Shop/Bottoms, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S59,"Default Category/Shop/Bottoms, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S60,"Default Category/Shop/Bottoms, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S61,"Default Category/Shop/Bottoms, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S64,"Default Category/Shop/Saree, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-21S65,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1
KAN-AP-20FW01,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW02,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW03,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW04,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW05,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW06,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW07,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW08,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW09,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW10,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW11,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW12,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing",1
KAN-AP-20FW13,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW14,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW15,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW16,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW17,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW18,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW19,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW20,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW21,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW22,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW23,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW24,"Default Category/Shop/Bottoms, Default Category/Shop/All Clothing",1
KAN-AP-20FW25,"Default Category/Shop/Co-Ords, Default Category/Shop/All Clothing",1
KAN-AP-20FW26,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW27,"Default Category/Shop/Bottoms, Default Category/Shop/All Clothing",1
KAN-AP-20FW28,"Default Category/Shop/Co-Ords, Default Category/Shop/All Clothing",1
KAN-AP-20FW32,"Default Category/Shop/Tops-Tunics, Default Category/Shop/All Clothing",1
KAN-AP-20FW33,"Default Category/Shop/Bottoms, Default Category/Shop/All Clothing",1
KAN-AP-20FW34,"Default Category/Shop/Co-Ords, Default Category/Shop/All Clothing",1
KAN-AP-20FW35,"Default Category/Shop/Bottoms, Default Category/Shop/All Clothing",1
KAN-AP-20FW36,"Default Category/Shop/Outerwear, Default Category/Shop/All Clothing",1
KAN-AP-20FW37,"Default Category/Shop/Outerwear, Default Category/Shop/All Clothing",1
KAN-AP-20FW38,"Default Category/Shop/Outerwear, Default Category/Shop/All Clothing",1
